iter	Passed	Remaining
0	1	109
1	2	105
2	3	100
3	3	94
4	5	97
5	6	95
6	7	93
7	7	91
8	8	90
9	10	90
10	11	89
11	12	88
12	12	86
13	13	85
14	14	84
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	41
58	57	40
59	58	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	67	33
67	68	32
68	69	31
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
